Hyperparamètre,Valeur,Moyenne,Minimum,Maximum,Configurations,Étendue de l'axe
poids image,0.5,0.9355,0.9254,0.9458,9,0.0198
poids image,0.25,0.9316,0.924,0.9366,9,0.0198
poids image,1.0,0.9277,0.9196,0.9343,9,0.0198
poids image,2.0,0.9189,0.9116,0.9335,9,0.0198
poids image,4.0,0.9157,0.9022,0.921,9,0.0198
hidden_layer_sizes,"(256,)",0.9308,0.9188,0.9375,15,0.0102
hidden_layer_sizes,"(512, 256)",0.9263,0.9145,0.9458,15,0.0102
hidden_layer_sizes,"(128, 64)",0.9206,0.9022,0.9366,15,0.0102
alpha,0.0001,0.9263,0.9116,0.9458,15,0.0009
alpha,0.01,0.926,0.9022,0.9425,15,0.0009
alpha,0.001,0.9254,0.9116,0.9436,15,0.0009
