Hyperparamètre,Valeur,Moyenne,Minimum,Maximum,Configurations,Étendue de l'axe
max_features,tous,0.9374,0.9322,0.9422,9,0.0106
max_features,10000,0.9297,0.9177,0.9446,27,0.0106
max_features,5000,0.9268,0.9094,0.9446,36,0.0106
ngram_range,"(1, 2)",0.9329,0.9198,0.9446,45,0.0098
ngram_range,"(1, 1)",0.9231,0.9094,0.9403,27,0.0098
min_df,1,0.9311,0.9177,0.9422,45,0.005
min_df,2,0.9261,0.9094,0.9446,27,0.005
hidden_layer_sizes,"(128, 64)",0.9309,0.9178,0.9446,24,0.0042
hidden_layer_sizes,"(512, 256)",0.93,0.9198,0.9422,24,0.0042
hidden_layer_sizes,"(256,)",0.9267,0.9094,0.9395,24,0.0042
alpha,0.0001,0.9303,0.9152,0.9446,24,0.0019
alpha,0.001,0.9289,0.9094,0.9411,24,0.0019
alpha,0.01,0.9284,0.9164,0.94,24,0.0019
