poids image,hidden_layer_sizes,alpha,F1 macro,Écart-type
0.5,"(512, 256)",0.0001,0.9458,0.0161
0.5,"(512, 256)",0.001,0.9436,0.0183
0.5,"(512, 256)",0.01,0.9425,0.0167
0.5,"(256,)",0.0001,0.9375,0.0203
0.5,"(256,)",0.001,0.9375,0.0203
0.5,"(256,)",0.01,0.9366,0.0199
0.25,"(128, 64)",0.01,0.9366,0.025
0.25,"(256,)",0.01,0.9366,0.0258
0.25,"(128, 64)",0.0001,0.9365,0.025
0.25,"(256,)",0.0001,0.9355,0.0265
1.0,"(256,)",0.01,0.9343,0.0138
0.25,"(128, 64)",0.001,0.9343,0.0272
2.0,"(256,)",0.01,0.9335,0.0074
1.0,"(256,)",0.0001,0.9333,0.0145
1.0,"(256,)",0.001,0.9333,0.0145
1.0,"(512, 256)",0.0001,0.9308,0.0255
1.0,"(512, 256)",0.01,0.9307,0.0256
0.25,"(256,)",0.001,0.9304,0.0345
1.0,"(512, 256)",0.001,0.9268,0.0208
2.0,"(256,)",0.0001,0.9265,0.0163
2.0,"(256,)",0.001,0.9265,0.0163
0.5,"(128, 64)",0.0001,0.9255,0.0315
0.5,"(128, 64)",0.001,0.9255,0.0315
0.5,"(128, 64)",0.01,0.9254,0.0315
0.25,"(512, 256)",0.0001,0.9254,0.0326
0.25,"(512, 256)",0.001,0.9254,0.0326
0.25,"(512, 256)",0.01,0.924,0.0319
4.0,"(256,)",0.001,0.921,0.0135
1.0,"(128, 64)",0.0001,0.9208,0.0218
4.0,"(256,)",0.01,0.92,0.0132
1.0,"(128, 64)",0.01,0.9196,0.0219
1.0,"(128, 64)",0.001,0.9196,0.0219
4.0,"(256,)",0.0001,0.9188,0.0128
4.0,"(512, 256)",0.001,0.9179,0.0153
4.0,"(512, 256)",0.0001,0.9179,0.0153
4.0,"(512, 256)",0.01,0.9179,0.0153
2.0,"(512, 256)",0.0001,0.9156,0.0136
2.0,"(512, 256)",0.001,0.9156,0.0136
2.0,"(128, 64)",0.01,0.9151,0.0192
2.0,"(512, 256)",0.01,0.9145,0.0146
4.0,"(128, 64)",0.0001,0.9126,0.0229
4.0,"(128, 64)",0.001,0.9126,0.0229
2.0,"(128, 64)",0.001,0.9116,0.02
2.0,"(128, 64)",0.0001,0.9116,0.02
4.0,"(128, 64)",0.01,0.9022,0.0267
