max_features,ngram_range,min_df,vocabulaire,hidden_layer_sizes,alpha,F1 macro,Écart-type
5000,"(1, 2)",2,5000,"(128, 64)",0.0001,0.9446,0.0139
10000,"(1, 2)",2,5412,"(128, 64)",0.0001,0.9446,0.0139
tous,"(1, 2)",1,22626,"(512, 256)",0.0001,0.9422,0.0112
tous,"(1, 2)",1,22626,"(512, 256)",0.001,0.9411,0.0118
10000,"(1, 1)",1,5275,"(512, 256)",0.0001,0.9403,0.0105
5000,"(1, 1)",1,5000,"(512, 256)",0.0001,0.9403,0.0105
10000,"(1, 2)",2,5412,"(128, 64)",0.01,0.94,0.0185
5000,"(1, 2)",2,5000,"(128, 64)",0.01,0.94,0.0185
tous,"(1, 2)",1,22626,"(512, 256)",0.01,0.94,0.0113
10000,"(1, 2)",1,10000,"(256,)",0.0001,0.9395,0.0184
10000,"(1, 2)",1,10000,"(128, 64)",0.0001,0.939,0.0124
10000,"(1, 2)",2,5412,"(128, 64)",0.001,0.9389,0.0201
5000,"(1, 2)",2,5000,"(128, 64)",0.001,0.9389,0.0201
tous,"(1, 2)",1,22626,"(256,)",0.001,0.9378,0.0147
tous,"(1, 2)",1,22626,"(256,)",0.0001,0.9377,0.0135
10000,"(1, 2)",1,10000,"(128, 64)",0.01,0.9367,0.0158
tous,"(1, 2)",1,22626,"(256,)",0.01,0.9367,0.0161
10000,"(1, 1)",1,5275,"(512, 256)",0.001,0.9365,0.018
5000,"(1, 1)",1,5000,"(512, 256)",0.001,0.9365,0.018
5000,"(1, 2)",1,5000,"(256,)",0.001,0.9357,0.0182
5000,"(1, 2)",1,5000,"(256,)",0.0001,0.9357,0.0182
tous,"(1, 2)",1,22626,"(128, 64)",0.001,0.9355,0.0146
5000,"(1, 2)",1,5000,"(128, 64)",0.0001,0.9355,0.0144
5000,"(1, 2)",1,5000,"(128, 64)",0.001,0.9354,0.0141
10000,"(1, 2)",1,10000,"(256,)",0.001,0.935,0.0206
10000,"(1, 2)",1,10000,"(256,)",0.01,0.9348,0.0236
5000,"(1, 2)",1,5000,"(512, 256)",0.01,0.9347,0.0157
10000,"(1, 2)",1,10000,"(512, 256)",0.0001,0.9344,0.013
10000,"(1, 2)",1,10000,"(128, 64)",0.001,0.9335,0.016
tous,"(1, 2)",1,22626,"(128, 64)",0.0001,0.9332,0.0146
5000,"(1, 2)",1,5000,"(512, 256)",0.001,0.9324,0.0167
10000,"(1, 2)",1,10000,"(512, 256)",0.001,0.9323,0.009
tous,"(1, 2)",1,22626,"(128, 64)",0.01,0.9322,0.0126
5000,"(1, 2)",1,5000,"(128, 64)",0.01,0.932,0.0173
5000,"(1, 2)",1,5000,"(256,)",0.01,0.9312,0.0183
10000,"(1, 2)",1,10000,"(512, 256)",0.01,0.9299,0.0088
10000,"(1, 2)",2,5412,"(256,)",0.01,0.9286,0.0172
5000,"(1, 2)",2,5000,"(256,)",0.01,0.9286,0.0172
5000,"(1, 1)",1,5000,"(512, 256)",0.01,0.9285,0.014
10000,"(1, 1)",1,5275,"(512, 256)",0.01,0.9285,0.014
5000,"(1, 2)",1,5000,"(512, 256)",0.0001,0.928,0.0165
10000,"(1, 2)",2,5412,"(256,)",0.001,0.9254,0.0135
5000,"(1, 2)",2,5000,"(256,)",0.001,0.9254,0.0135
5000,"(1, 1)",2,2129,"(512, 256)",0.01,0.9245,0.022
5000,"(1, 2)",2,5000,"(256,)",0.0001,0.9243,0.0144
10000,"(1, 2)",2,5412,"(256,)",0.0001,0.9243,0.0144
5000,"(1, 1)",2,2129,"(512, 256)",0.0001,0.9236,0.0246
5000,"(1, 1)",2,2129,"(512, 256)",0.001,0.9234,0.0236
5000,"(1, 1)",1,5000,"(256,)",0.001,0.9222,0.0305
10000,"(1, 1)",1,5275,"(256,)",0.001,0.9222,0.0305
10000,"(1, 2)",2,5412,"(512, 256)",0.01,0.9219,0.0112
5000,"(1, 2)",2,5000,"(512, 256)",0.01,0.9219,0.0112
5000,"(1, 1)",2,2129,"(128, 64)",0.01,0.9218,0.0145
5000,"(1, 1)",2,2129,"(128, 64)",0.001,0.9218,0.0176
5000,"(1, 1)",1,5000,"(128, 64)",0.0001,0.9215,0.0116
10000,"(1, 1)",1,5275,"(128, 64)",0.0001,0.9215,0.0116
5000,"(1, 1)",2,2129,"(128, 64)",0.0001,0.9211,0.018
10000,"(1, 2)",2,5412,"(512, 256)",0.0001,0.9199,0.0113
5000,"(1, 1)",1,5000,"(256,)",0.0001,0.9199,0.0323
10000,"(1, 1)",1,5275,"(256,)",0.0001,0.9199,0.0323
5000,"(1, 2)",2,5000,"(512, 256)",0.0001,0.9199,0.0113
10000,"(1, 2)",2,5412,"(512, 256)",0.001,0.9198,0.0113
5000,"(1, 2)",2,5000,"(512, 256)",0.001,0.9198,0.0113
10000,"(1, 1)",1,5275,"(128, 64)",0.01,0.9191,0.0171
5000,"(1, 1)",1,5000,"(128, 64)",0.01,0.9191,0.0171
5000,"(1, 1)",1,5000,"(128, 64)",0.001,0.9178,0.016
10000,"(1, 1)",1,5275,"(128, 64)",0.001,0.9178,0.016
5000,"(1, 1)",1,5000,"(256,)",0.01,0.9177,0.0247
10000,"(1, 1)",1,5275,"(256,)",0.01,0.9177,0.0247
5000,"(1, 1)",2,2129,"(256,)",0.01,0.9164,0.0235
5000,"(1, 1)",2,2129,"(256,)",0.0001,0.9152,0.0237
5000,"(1, 1)",2,2129,"(256,)",0.001,0.9094,0.0297
