jeu,seuil,automatisés,total,taux d'automatisation,précision sur la part automatisée,erreurs automatisées,en revue humaine,retenu
validation,0.0,157,157,1.0,0.9363057324840764,10,0,False
validation,0.5,141,157,0.8980891719745223,0.9716312056737588,4,16,False
validation,0.6,132,157,0.8407643312101911,0.9924242424242424,1,25,True
validation,0.7,121,157,0.7707006369426752,0.9917355371900827,1,36,False
validation,0.8,104,157,0.6624203821656051,1.0,0,53,False
validation,0.9,86,157,0.5477707006369427,1.0,0,71,False
validation,0.95,56,157,0.35668789808917195,1.0,0,101,False
test,0.0,158,158,1.0,0.9873417721518988,2,0,False
test,0.5,141,158,0.8924050632911392,0.9929078014184397,1,17,False
test,0.6,135,158,0.8544303797468354,0.9925925925925926,1,23,True
test,0.7,122,158,0.7721518987341772,1.0,0,36,False
test,0.8,105,158,0.6645569620253164,1.0,0,53,False
test,0.9,86,158,0.5443037974683544,1.0,0,72,False
test,0.95,55,158,0.34810126582278483,1.0,0,103,False
